Quarter,Maori_authority_filled_jobs,Maori_SME_filled_jobs,Maori_tourism_filled_jobs
mar-13,10231.00,7780.00,5136.00
jun-13,10564.00,7722.00,5235.00
sep-13,10751.00,8536.00,5944.00
Dec-13,11341.00,8544.00,5770.00
mar-14,10734.00,8887.00,5692.00
jun-14,11132.00,8935.00,5800.00
sep-14,11119.00,9438.00,6148.00
Dec-14,11600.00,9467.00,6112.00
mar-15,10843.00,9639.00,5905.00
jun-15,11332.00,9650.00,5958.00
sep-15,11438.00,10190.00,6385.00
Dec-15,11648.00,10232.00,6343.00
mar-16,11170.00,10317.00,6151.00
jun-16,11472.00,10321.00,6210.00
sep-16,11885.00,10698.00,6652.00
Dec-16,12246.00,10634.00,6865.00
mar-17,11468.00,10617.00,6662.00
jun-17,11847.00,10788.00,6678.00
sep-17,11873.00,11214.00,7171.00
Dec-17,12103.00,11115.00,7079.00
