Year,Grassland,Forest_plantation,Bush_scrub,Horticulture
2006,219179.70,61552.70,106116.30,1146.20
2007,226045.50,52927.10,88068.40,2095.70
2008,218046.10,54313.90,78926.00,2645.50
2009,211269.00,64684.40,70050.50,2398.70
2010,208884.50,69022.30,71635.70,2360.70
2011,219269.90,70340.90,79679.30,2723.00
2012,222412.70,82411.10,89750.80,2973.40
2013,214150.80,79647.30,85698.20,2759.60
2014,177138.40,78826.70,64701.70,2850.00
2015,212145.40,109229.30,80036.10,2773.90
2016,217992.60,110392.80,75351.00,2667.70
2017,227616.50,103777.00,68532.70,3420.30
