Period,Type,Exports_percent,Tourism_percent,Investment_percent,RandD_percent
2011,Maori_authority,17.00,25.00,42.00,17.00
2012,Maori_authority,38.00,25.00,25.00,25.00
2013,Maori_authority,27.00,27.00,45.00,9.00
2014,Maori_authority,25.00,25.00,50.00,25.00
2015,Maori_authority,40.00,30.00,50.00,20.00
2016,Maori_authority,22.00,22.00,44.00,22.00
2017,Maori_authority,27.00,27.00,55.00,18.00
2018,Maori_authority,33.00,25.00,50.00,25.00
2011,Maori_SME,25.00,14.00,29.00,18.00
2012,Maori_SME,28.00,7.00,31.00,14.00
2013,Maori_SME,34.00,14.00,31.00,14.00
2014,Maori_SME,29.00,16.00,34.00,13.00
2015,Maori_SME,27.00,11.00,36.00,14.00
2016,Maori_SME,24.00,22.00,41.00,9.00
2017,Maori_SME,27.00,25.00,44.00,12.00
2018,Maori_SME,24.00,22.00,38.00,12.00
2011,Maori_tourism,29.00,71.00,29.00,14.00
2012,Maori_tourism,50.00,67.00,33.00,0.00
2013,Maori_tourism,38.00,75.00,50.00,13.00
2014,Maori_tourism,25.00,88.00,50.00,13.00
2015,Maori_tourism,33.00,75.00,42.00,17.00
2016,Maori_tourism,21.00,93.00,50.00,7.00
2017,Maori_tourism,29.00,94.00,47.00,12.00
2018,Maori_tourism,21.00,84.00,53.00,11.00
